116,1970-03-15,San Juan,Business,0,183
117,1970-03-15,Billings,Police Building,0,183
118,1970-03-16,San Bernardino,Government Building,1,183
119,1970-03-17,Los Angeles,Educational Institution,0,183
120,1970-03-18,Lockland,Utilities,0,183
121,1970-03-20,Portland,Military Personnel,0,183
122,1970-03-20,Detroit,Private Citizens,1,183
123,1970-03-21,Washington,Government Building,0,183
124,1970-03-21,New York City,Business,1,183
125,1970-03-21,New York City,Business,1,183
126,1970-03-22,The Bronx,Business,0,183
127,1970-03-22,The Bronx,Business,0,183
128,1970-03-22,New York City,Business,17,183
129,1970-03-23,Orlando,Private Citizens,0,183
130,1970-03-24,Angeles,Military Personnel,0,160
131,1970-03-24,Santo Domingo,Military Personnel,0,1
132,1970-03-24,Ituzaingo,Government Building,0,158
133,1970-03-24,New York City,Business,0,183
134,1970-03-24,Cleveland,Private Citizens,0,183
135,1970-03-24,Richmond,Government Building,0,183
136,1970-03-27,San Francisco,Police Building,0,183
137,1970-03-29,Buenos Aires,Government Building,0,11
138,1970-03-29,Beirut,Government Building,0,94
139,1970-03-30,Manila,Government Building,0,160
140,1970-03-31,Bamban,Military Personnel,1,160
141,1970-03-31,Fukouka,Airports & Aircraft,0,85
142,1970-03-31,Washington,Government Building,0,183
143,1970-03-31,Seattle,Educational Institution,0,183
144,1970-04-01,East Lansing,Educational Institution,0,183
145,1970-04-01,Ithaca,Educational Institution,0,183
146,1970-04-01,Houston,Military Personnel,0,183
147,1970-04-02,Mabalacat City,Military Personnel,2,160
148,1970-04-02,New York City,Business,0,183
149,1970-04-03,Dublin,Business,1,81
150,1970-04-04,New York City,Business,0,163
151,1970-04-04,New York City,Private Citizens,0,183
152,1970-04-04,Pullman,Educational Institution,0,183
153,1970-04-05,Porto Alegre,Government Building,0,24
154,1970-04-05,Buenos Aires,Military Personnel,0,11
155,1970-04-05,Trona,Utilities,0,183
156,1970-04-05,Trona,Business,0,183
157,1970-04-05,New York City,NGO,0,183
158,1970-04-05,Houston,Educational Institution,0,183
159,1970-04-08,Lawrence,Business,0,183
160,1970-04-08,Baxter Springs,Private Citizens,0,183
161,1970-04-08,Los Angeles,Educational Institution,0,183
162,1970-04-09,East St. Louis,Business,0,183
163,1970-04-11,San Diego,Military Personnel,0,183
164,1970-04-11,Ithaca,Educational Institution,0,183
165,1970-04-11,Ithaca,Private Citizens,0,183
166,1970-04-11,Freeport,Business,5,183
167,1970-04-13,Berkeley,Utilities,0,183
168,1970-04-13,Kansas City,Educational Institution,0,183
